category,rule,do_pattern,do_code,dont_pattern,dont_code,severity
Navigation,Keep primary navigation to 7 items or fewer,Group related items under clear dropdown categories,<nav><ul><li>Product</li><li>Solutions</li><li>Pricing</li><li>Resources</li><li>Company</li></ul></nav>,Expose every page link in the main navigation bar,<nav><ul><li>Home</li><li>About</li><li>Team</li><li>Blog</li><li>Pricing</li><li>FAQ</li><li>Contact</li><li>Careers</li><li>Press</li><li>Partners</li></ul></nav>,HIGH
CTA Design,Make primary CTA visually dominant with contrasting color,Use brand contrasting color with clear action verb and padding,"<button style=""background:#F97316;color:#fff;padding:14px 32px;border-radius:8px;font-weight:700"">Start Free Trial</button>",Use ghost buttons or low-contrast colors for primary actions,"<button style=""background:transparent;border:1px solid #ccc;color:#999;padding:8px 16px"">Submit</button>",HIGH
Typography,Maintain clear heading hierarchy with consistent scale,Use a modular scale like 1.25 ratio from base size 16px,h1: 2.441rem; h2: 1.953rem; h3: 1.563rem; h4: 1.25rem; body: 1rem,Use random font sizes without systematic relationship,h1: 36px; h2: 24px; h3: 21px; h4: 19px; body: 15px,HIGH
Spacing,Use consistent spacing system based on 8px grid,Apply multiples of 8px for all margins and padding,padding: 8px 16px 24px 32px; gap: 16px; margin-bottom: 32px,Use arbitrary pixel values with no system,padding: 13px 22px 7px 19px; gap: 11px; margin-bottom: 37px,MEDIUM
Color Contrast,Ensure WCAG AA minimum 4.5:1 contrast for body text,Use dark text on light backgrounds or light text on dark,color: #1E293B; background: #FFFFFF; /* 13.5:1 ratio */,Use medium gray text on light backgrounds,color: #9CA3AF; background: #F3F4F6; /* 2.1:1 ratio */,HIGH
Forms,Label every input visibly above the field not as placeholder only,Place persistent label above input with descriptive text,"<label for=""email"">Email address</label><input id=""email"" type=""email"" placeholder=""you@example.com"">",Use placeholder text as the only label,"<input type=""email"" placeholder=""Email address"">",HIGH
Mobile Touch,Make touch targets minimum 44x44 pixels,Size all interactive elements at least 44px in both dimensions,"<button style=""min-height:44px;min-width:44px;padding:12px 24px"">Tap me</button>",Use small links or buttons below 30px height,"<a style=""font-size:12px;padding:4px 8px"">Click here</a>",HIGH
Loading States,Show skeleton screens instead of spinners for content,Replace content areas with animated placeholder shapes,"<div class=""skeleton"" style=""height:20px;width:80%;background:#E2E8F0;border-radius:4px;animation:pulse 1.5s infinite""></div>",Show only a centered spinner with no content preview,"<div style=""text-align:center""><span class=""spinner""></span></div>",MEDIUM
White Space,Use generous whitespace between sections minimum 64px,Separate major sections with padding-block of 80-120px,"<section style=""padding-block:96px""> content </section>",Cram sections together with minimal spacing,"<section style=""padding-block:16px""> content </section>",MEDIUM
Feedback,Provide immediate visual feedback for all user actions,Show state change within 100ms of interaction,"<button style=""transition:all 0.15s ease""> with :hover :active :focus states",Leave buttons and inputs with no hover or active state styling,"<button style=""cursor:default""> with no state changes",MEDIUM
Error Handling,Show inline validation errors next to the relevant field,Display specific red error text below the input,"<input style=""border-color:#EF4444""><p style=""color:#EF4444;font-size:0.875rem"">Please enter a valid email</p>",Show a single generic alert at top of form,"<div class=""alert"">There were errors in your submission</div>",HIGH
Image Optimization,Use responsive images with proper aspect ratios and lazy loading,Serve multiple sizes with srcset and lazy load below fold,"<img srcset=""hero-400.webp 400w hero-800.webp 800w"" sizes=""100vw"" loading=""lazy"" alt=""Product screenshot"">",Serve single full-size image without lazy loading,"<img src=""hero-4000px.jpg"" alt="""">",MEDIUM
Scroll Behavior,Use smooth scroll with reduced motion media query respect,Enable smooth scroll but honor prefers-reduced-motion,html { scroll-behavior: smooth } @media (prefers-reduced-motion) { html { scroll-behavior: auto } },Force animations without reduced motion fallback,html { scroll-behavior: smooth } with no prefers-reduced-motion check,MEDIUM
Modal Design,Keep modals focused with one clear action and easy dismissal,Include visible close button escape key and backdrop click to close,"<div role=""dialog"" aria-modal=""true""><button aria-label=""Close"">X</button> content <button>Confirm</button></div>",Open modal with no close button or way to dismiss,"<div class=""modal""> content <button>OK</button></div> with no close or escape handler",HIGH
Card Design,Use consistent card structure with clear content hierarchy,Apply uniform padding border-radius and shadow across all cards,"<div style=""padding:24px;border-radius:12px;box-shadow:0 1px 3px rgba(0 0 0 / 0.1)""><h3>Title</h3><p>Desc</p><a>Learn more</a></div>",Mix different card styles padding and border-radius on same page,"<div style=""padding:10px;border-radius:4px"">Card 1</div><div style=""padding:20px;border-radius:16px"">Card 2</div>",MEDIUM
Accessibility Focus,Ensure visible focus indicators on all interactive elements,Add custom focus ring that is visible on all backgrounds,button:focus-visible { outline: 2px solid #2563EB; outline-offset: 2px; },Remove default focus outlines without replacement,button:focus { outline: none; },HIGH
