pattern_name,section_order,cta_placement,color_strategy,effects,conversion_tips
SaaS Product Launch,Hero > Social Proof > Features > Pricing > FAQ > Final CTA,Above fold primary + after pricing secondary + sticky header,Primary brand in hero with neutral features section and bold CTA contrast,Glassmorphism cards fade-in on scroll subtle hover lifts,Place pricing above FAQ and repeat CTA after every 2 sections
E-commerce Product,Hero Image > Benefits > Gallery > Reviews > Cross-sell > CTA,Sticky add-to-cart bar + hero CTA + post-reviews CTA,Product-matched palette with high-contrast buy button and clean white space,Image zoom on hover smooth carousel lazy-loaded gallery,Show scarcity indicators and place reviews directly before checkout CTA
Restaurant Landing,Hero Food Photo > Menu Highlights > Location > Reservations > Reviews,Sticky reserve button + hero CTA + post-menu CTA,Warm reds and golds with dark text on light food photography backgrounds,Parallax food images smooth menu accordion subtle fade-ins,Feature 3 signature dishes prominently and make reservation form above fold
Fintech Conversion,Hero with Value Prop > Trust Badges > How It Works > Testimonials > Security > CTA,Hero primary CTA + post-security reassurance CTA + floating CTA,Dark mode with deep purples and amber accent for trust and sophistication,Dark glassmorphism animated counters subtle gradient backgrounds,Lead with specific numbers and show security badges near every CTA
Portfolio Showcase,Hero Statement > Selected Work > About > Process > Testimonials > Contact,Hero contact link + post-work CTA + footer contact form,Minimal black and white with one accent color for links and highlights,Smooth scroll project reveals hover image previews cursor effects,Show 4-6 best projects only and make contact info impossible to miss
Healthcare Provider,Hero with Trust > Services > Team > Credentials > Insurance > Contact,Hero appointment CTA + sticky phone number + post-credentials CTA,Calming blues and teals with white backgrounds and green accents,Subtle fade-ins clean accordions for FAQs smooth form validation,Display credentials prominently and keep appointment booking under 3 clicks
Fitness App,Hero with App Preview > Benefits > Workout Preview > Testimonials > Pricing > Download,Hero download CTA + post-testimonials CTA + sticky download bar,Energetic gradients with dark backgrounds and vibrant orange or green CTAs,Animated phone mockups parallax scroll counter animations,Show before-after results and make download buttons platform-specific
Education Platform,Hero > Course Preview > Instructor Cred > Student Results > Pricing > Enrollment,Hero enroll CTA + post-results CTA + pricing CTA + sticky bar,Professional blues with warm accent for CTAs and clean white content areas,Video preview thumbnails progress bar animations smooth accordions,Lead with student outcomes not course features and show completion rates
Real Estate,Hero Search > Featured Listings > Neighborhoods > Agent Profile > Testimonials > Contact,Hero search bar + listing CTAs + post-testimonials contact form,Navy blue with white cards and gold accent for premium feel,Map integration smooth card hover transitions image carousels,Put search functionality front and center and show recent sales data
Event Landing,Hero Countdown > Speakers > Schedule > Venue > Early Bird > Register,Hero register CTA + countdown urgency + post-schedule CTA + sticky register,Bold vibrant gradients matching event brand with high-contrast register button,Countdown timer animation speaker card hovers schedule tabs,Create urgency with early-bird deadlines and show attendee count
Nonprofit Cause,Hero Impact Story > Mission > Impact Numbers > Ways to Help > Testimonials > Donate,Hero donate CTA + post-impact donate CTA + sticky donate button,Warm earth tones with one bold accent for donation buttons,Animated impact counters story reveal on scroll subtle parallax,Lead with emotional storytelling and show exactly where donations go
Legal Services,Hero with Authority > Practice Areas > Attorney Profiles > Case Results > FAQ > Consult,Hero free consult CTA + post-results CTA + sticky phone bar,Dark navy with gold accents conveying authority and trust on white,Subtle animations clean accordions professional hover states,Show case results with numbers and make free consultation prominent
Startup MVP,Hero Problem Statement > Solution Demo > How It Works > Early Access > Team > Waitlist,Hero waitlist CTA + post-demo CTA + final waitlist with counter,Bold single primary color on white with dark text for clarity,Product demo animation waitlist counter minimal scroll effects,Focus on one clear problem-solution pair and show waitlist social proof
Wedding Services,Hero Gallery > Services > Portfolio > Testimonials > Packages > Contact,Hero inquiry CTA + post-portfolio CTA + package inquiry buttons,Soft blush and sage or ivory with gold accents on white linen textures,Elegant fade-ins lightbox gallery smooth scroll parallax images,Show full wedding galleries not single shots and include pricing ranges
