name,description,implementation,use_cases,do_examples,dont_examples
Glassmorphism,Frosted glass effect with transparency and backdrop blur,background: rgba(255 255 255 / 0.1); backdrop-filter: blur(12px); border: 1px solid rgba(255 255 255 / 0.18); border-radius: 16px,SaaS dashboards fintech overlays modal cards,Layer on gradient or dark backgrounds with subtle white borders,Never use on busy photographs or without sufficient contrast
Neomorphism,Soft extruded UI using dual light and dark shadows,background: #e0e5ec; border-radius: 16px; box-shadow: 8px 8px 16px #b8bec7 -8px -8px 16px #ffffff,Settings panels calculators music player controls,Apply to flat monochrome backgrounds for subtle depth,Never use for primary CTAs or text-heavy content areas
Brutalism,Raw bold anti-design with thick borders and stark contrast,border: 3px solid #000; font-weight: 900; background: #FFFF00; box-shadow: 5px 5px 0 #000; text-transform: uppercase,Creative portfolios art galleries experimental brands,Commit fully to the aesthetic with bold type and raw layouts,Never apply to banking healthcare or trust-dependent products
Minimalism,Clean whitespace-focused design with only essential elements,max-width: 680px; margin: 0 auto; padding: 4rem 2rem; line-height: 1.8; letter-spacing: -0.01em,Editorial sites luxury brands professional services,Use generous whitespace and a two-color palette maximum,Never leave pages feeling empty without clear navigation or CTAs
Flat Design,Two-dimensional design without shadows gradients or textures,background: #3498DB; color: #fff; border: none; border-radius: 4px; padding: 12px 24px; font-weight: 600,Mobile app interfaces dashboard UIs icon-heavy systems,Use bold saturated colors with clear visual hierarchy,Never create interactive elements that look identical to static content
Material Design 3,Google elevation system with layered surfaces and motion,border-radius: 12px; box-shadow: 0 1px 3px rgba(0 0 0 / 0.12); transition: all 0.2s cubic-bezier(0.4 0 0.2 1),Android apps enterprise dashboards productivity tools,Follow consistent elevation scale and use purposeful transitions,Never mix random shadow depths or skip the ripple effect on interactive items
Dark Mode Premium,Rich dark surfaces with high-contrast text and vibrant accents,background: #0F172A; color: #E2E8F0; --accent: #38BDF8; --surface: #1E293B,Developer tools media platforms fintech dashboards,Use #0F172A or #1A1A2E never pure black and maintain 7:1 contrast,Never use pure #000000 backgrounds or gray text below 4.5:1 contrast
Gradient Mesh,Complex multi-color gradient backgrounds with smooth blending,background: linear-gradient(135deg #667eea 0% #764ba2 100%); background-size: 200% 200%,Landing page heroes app onboarding splash screens,Limit to 2-3 harmonious colors with gentle transitions,Never layer text directly on gradients without an overlay or contrast fix
Bento Grid,Asymmetric card grid layout inspired by Japanese bento boxes,display: grid; grid-template-columns: repeat(4 1fr); gap: 1rem; grid-auto-rows: minmax(200px auto),Feature showcases product pages portfolio galleries,Vary card sizes to create visual rhythm and hierarchy,Never make all cards identical sizes or pack too many into one view
Corporate Clean,Professional structured design with systematic spacing,font-family: Inter sans-serif; max-width: 1200px; line-height: 1.6; color: #374151; background: #FFFFFF,B2B SaaS consulting firms enterprise platforms,Use a strict 8px spacing grid and limit to 2 accent colors,Never make it lifeless - always include micro-interactions and one bold accent
Retro Vintage,Nostalgic design using muted tones classic type and textures,font-family: 'Courier New' monospace; background: #F5E6D3; color: #2C1810; border: 2px dashed #8B7355,Coffee shops breweries record stores vintage brands,Commit to era-appropriate palettes and typography choices,Never mix decades inconsistently or sacrifice readability for aesthetic
Aurora Glow,Ethereal flowing gradients with subtle animated color shifts,background: linear-gradient(-45deg #ee7752 #e73c7e #23a6d5 #23d5ab); background-size: 400% 400%; animation: gradient 15s ease infinite,Creative agencies wellness apps music streaming platforms,Use slow 10-15s animation loops with dreamy complementary hues,Never make animations faster than 8s or use more than 4 gradient stops
Organic Natural,Soft blob shapes with earth tones and nature-inspired curves,border-radius: 40% 60% 70% 30% / 40% 50% 60% 50%; background: #F0EBE3; color: #5C4033,Wellness brands organic food eco-friendly sustainable products,Use irregular border-radius values and warm muted earth tones,Never combine with sharp geometric shapes or neon accent colors
Swiss International,Grid-based systematic design with strong typography hierarchy,display: grid; grid-template-columns: repeat(12 1fr); font-weight: 700; text-transform: uppercase; letter-spacing: 0.05em,Architecture firms design studios editorial magazines,Use strict column grids and one bold sans-serif typeface throughout,Never break the grid or use decorative typefaces
Cyberpunk Neon,High contrast dark backgrounds with vivid neon glowing accents,background: #0a0a0a; color: #00ff41; text-shadow: 0 0 10px #00ff41; border: 1px solid #ff00ff,Gaming platforms tech events sci-fi themed products,Use one or two neon colors max against very dark backgrounds,Never overload with multiple neon colors or add glow to body text
