data_type,best_chart,colors,accessibility,library
Time series trend,Line chart with area fill,#2563EB for primary line #93C5FD for area fill #F97316 for comparison,Include data point markers and tooltip on hover with aria-label,Recharts or Chart.js
Part of whole composition,Donut chart with center label,#2563EB #3B82F6 #60A5FA #93C5FD #BFDBFE sequential blue palette,Add patterns to segments not just colors and include legend with percentages,Recharts or D3.js
Category comparison,Horizontal bar chart,#2563EB for primary #E2E8F0 for background bars #F97316 for highlighted,Include value labels at end of each bar and use aria-describedby,Recharts or Chart.js
Distribution spread,Histogram or box plot,#6366F1 for bars #C4B5FD for lighter bins #EF4444 for outliers,Provide summary statistics in text alongside the visual,D3.js or Plotly
Correlation relationship,Scatter plot with trend line,#2563EB for points #F97316 for trend line #E2E8F0 for grid,Use different shapes for groups not just colors and add axis labels,D3.js or Plotly
Geographic data,Choropleth map with legend,Sequential single-hue from #DBEAFE to #1E40AF for value range,Include data table alternative view and high contrast borders between regions,D3.js or Mapbox
Progress toward goal,Progress bar or gauge,#059669 for completed #E2E8F0 for remaining #F59E0B for warning threshold,Show numeric percentage alongside visual and use aria-valuenow,Custom CSS or Recharts
Hierarchical data,Treemap with nested rectangles,#2563EB #0891B2 #059669 #F59E0B distinct hues per top category,Include breadcrumb navigation and text labels in each cell minimum 14px,D3.js or Recharts
Flow or process,Sankey diagram with flow paths,#3B82F6 #8B5CF6 #EC4899 #F97316 distinct hues per source node,Provide text summary of flows and high-contrast link hover states,D3.js or Plotly
Comparison over time,Grouped bar chart,#2563EB for group A #F97316 for group B #10B981 for group C,Use patterns plus colors and include legend with clear group labels,Recharts or Chart.js
Small multiples,Grid of mini line charts,#2563EB consistent across all panels with #F97316 for highlighted metric,Keep axis scales consistent across panels and add panel titles,D3.js or custom grid
KPI dashboard metric,Big number with sparkline,#1E293B for number #2563EB for sparkline #059669 for positive #EF4444 for negative,Show numeric value prominently at 2rem+ and add screen reader context,Custom CSS or Recharts
Ranking ordered list,Lollipop chart or ordered bar,#2563EB for dots and bars #E2E8F0 for connector lines #F97316 for top ranked,Include rank numbers and value labels and sort consistently,D3.js or Recharts
Budget or financial,Stacked bar chart,#2563EB #0891B2 #059669 #F59E0B #EF4444 category colors per segment,Provide data table toggle and ensure adjacent segments have sufficient contrast,Recharts or Chart.js
User funnel,Funnel chart or horizontal bars,Sequential from #2563EB at top to #BFDBFE at bottom with #EF4444 for dropoff,Show absolute numbers and percentages at each stage with text labels,Custom CSS or D3.js
Real-time data,Streaming line chart,#2563EB for current #E2E8F0 for historical with #EF4444 for alerts,Pause animation option and provide last-updated timestamp with aria-live,D3.js or custom WebSocket chart
